# file:		F_SBB_00001_18800101_009_001_0_003
# sbb url:	http://zefys.staatsbibliothek-berlin.de/kalender/auswahl/date/1880-01-01/27646518/
# tel url:	http://www.theeuropeanlibrary.org/tel4/newspapers/issue/3000097231562?page=3
seine O
Tabakspfeife O
angewiesen O
. O
Es O
ist O
wahr O
, O
daß O
diese O
Pfeife O
nicht O
zu O
den O
großen O
Stummeln O
gehört O
, O
welche O
der O
französische O
Volksmund O
, O
weil O
er O
sich O
daran O
zu O
verbrennen O
liebt O
, O
„ O
brûle-gueule O
" O
getauft O
hat O
. O
Im O
Gegentheil O
, O
es O
ist O
ein O
ganz O
ministerielles O
Prachtstück O
, O
aus O
Meerschaum O
und O
Bernstein O
zusammengesetzt O
und O
selbst O
größere O
Staatsmänner O
als O
Herr O
Lipere B-PER
, O
welche O
beinahe O
eben O
so O
große O
Raucher O
sein O
sollen O
, O
dürften O
sich O
beim O
Parlamentsbier O
solcher O
Pfeife O
nicht O
schämen O
. O
Allein O
Herr O
Lepüre B-PER
übertreibt O
es O
in O
seiner O
Leidenschaft O
; O
er O
bringt O
die O
Pfeife O
und O
den O
Tabaksbeutel O
mit O
in O
den O
Ministerrath O
, O
und O
Freyeinct B-PER
, O
der O
ein O
pedantisch O
strenger O
Gentleman O
, O
ein O
Muster O
aristokratischer O
Eleganz O
und O
ein O
Todfeind O
der O
plebejischen O
Unsitte O
des O
Rauchens O
ist O
, O
will O
über O
das O
saloppe O
und O
burschikose O
Wesen O
seines O
Kollegen O
schier O
aus O
dem O
Ministersrock O
fahren O
. O
Indeß O
des O
Kammerpräsidenten O
Wille O
ist O
zur O
Zeit O
noch O
stärker O
, O
als O
des O
Kabinetspräsidenten O
Widerwille O
, O
und O
so O
wird O
denn O
vor O
der O
Hand O
Herr O
Lepere B-PER
fortfahren O
, O
im O
Konseil O
seinen O
„ O
Caporal O
" O
zu O
qualmen O
und O
mit O
dem O
Duft O
dieses O
Teufelskrautes O
alle O
Akten O
zu O
schwängern O
, O
die O
durch O
seine O
Hände O
gehen O
. O
Da O
ich O
so O
viel O
von O
den O
alten O
Ministern O
gesprochen O
, O
lassen O
Sie O
mich O
rasch O
noch O
etwas O
von O
den O
neuen O
sagen O
, O
ehe O
der O
Metteur O
mir O
die O
Spalte O
vor O
der O
Nase O
zuschließt O
. O
Da O
ist O
zuerst O
der O
mehrerwähnte O
Herr O
Magnin B-PER
, O
der O
Finanzminister B-PER
. O
In O
der O
politischen O
Welt O
ist O
dieser O
Mann O
mir O
wenig O
bekannt O
, O
weil O
er O
Senator O
ist O
und O
obwohl O
er O
schon O
einmal O
Minister O
war O
. O
Er O
gehörte O
nämlich O
der O
Regierung O
vom O
4 O
. O
September O
an O
und O
scheint O
sehr O
segensreich O
gewirkt O
zu O
haben O
, O
da O
sich O
das O
Publikum O
gar O
nicht O
mehr O
daran O
erinnert O
. O
Er O
ist O
, O
um O
es O
kurz O
zu O
sagen O
, O
der O
Sohn O
seines O
Vaters O
. O
Da O
dieser O
Abgeordneter O
war O
, O
der O
Linken B-ORG
angehörte O
, O
die O
schönsten O
Weinberge O
und O
die O
bedeutendsten O
Eisenwerke O
in O
Burgund B-LOC
besaß O
, O
so O
ist O
es O
seinem O
Erben O
ein O
Leichtes O
, O
ihm O
in O
allen O
diesen O
Stücken O
nachzuahmen O
. O
Als O
er O
jünger O
war O
, O
hieß O
er O
der O
„ O
schöne O
" O
Magnin O
, O
seit O
ihn O
aber O
die O
Rebläuse O
plagen O
— O
worüber O
ihm O
graue O
Haare O
wachsen O
— O
ist O
es O
mit O
der O
Schönheit O
vorbei O
. O
Seine O
Hauptverdienste O
sind O
jedenfalls O
diejenigen O
, O
welche O
sein O
Hauptbuchhalter O
ihm O
bei O
der O
Jahresbilanz O
auf O
der O
Haben-Seite O
notirt O
. O
Die O
neue O
Würde O
wird O
wohl O
sehr O
genehm O
, O
die O
damit O
verbundene O
Bürde O
aber O
wenig O
bequem O
sein O
. O
Man O
hat O
denn O
auch O
sofort O
daran O
gedacht O
, O
ihm O
einen O
tüchtigen O
arbeitslustigen O
Unterstaats-Sekretär O
an O
die O
Seite O
zu O
stellen O
, O
und O
es O
heißt O
, O
daß O
dieser O
bereits O
in O
der O
Person O
des O
Deputirten O
Wilson B-PER
, O
des O
„ O
kleinen O
" O
Wilson B-PER
, O
wie O
man O
ihn O
in O
den O
Couloirs O
betitelt O
, O
gesunden O
sei O
. O
Den O
Beinamen O
des O
„ O
Kleinen O
" O
hat O
er O
vor O
neun O
Jahren O
erhalten O
, O
da O
er O
als O
junger O
Lebemann O
sich O
unter O
die O
Parlamentarier O
mischte O
. O
Er O
war O
bis O
dahin O
ein O
Dandy O
von O
der O
wildesten O
Sorte O
gewesen O
, O
einer O
jener O
vornehmen O
jungen O
Wüstlinge O
, O
deren O
Haupt O
und O
Vorbild O
neben O
dem O
Herzog B-PER
von I-PER
Gramnivnt-Caderousse I-PER
Prinz B-PER
von I-PER
Oranien I-PER
war O
und O
zu O
deren O
überlebenden O
traurigen O
Berühmtheiten O
der O
Marquis B-PER
de I-PER
Caux I-PER
, O
der O
Gatte O
in O
partidus O
von O
Adclina O
Palti O
, O
gehört O
. O
Aus O
diesem O
Strudel O
riß O
den O
jungen O
Wilson B-PER
der O
Krieg O
, O
worauf O
seine O
Schwester O
, O
die O
durch O
Reichthum O
wie O
durch O
Schönheit O
gleich O
ausgezeichnet O
- O
Madame O
Pelouze B-PER
, O
ihn O
durch O
ihre O
Bauern O
und O
Deputirten O
wählen O
ließ O
und O
, O
gleichsam O
wie O
in O
eine O
Besserungsanstalt O
, O
ins O
Parlament O
schickte O
. O
Ein O
mehr O
pikantes O
als O
wahrscheinliches O
Gerücht O
will O
wissen O
, O
daß O
Madame O
Pelouze B-PER
, O
die O
reizende O
und O
begüterte O
junge O
Wittwe O
, O
zu O
dem O
Präsidenten O
Grevy I-PER
in O
intimsten O
Beziehungen O
stehe O
, O
und O
daß O
die O
rasche O
Karriere O
, O
die O
der O
„ O
kleine O
" O
Wilson B-PER
seit O
1871 O
gemacht O
, O
wesentlich O
der O
Protektion O
des O
Herrn O
Grevy B-PER
zu O
verdanken O
sei O
. O
An O
sich O
ist O
letztere O
Thatsache O
gewiß O
richtig O
, O
aber O
es O
wäre O
ungerecht O
, O
das O
eigene O
Verdienst O
Wilsons B-PER
zu O
unterschätzen O
, O
der O
es O
verstanden O
, O
sich O
in O
der O
Kammer O
eine O
Spezialität O
zu O
schaffen O
, O
und O
der O
mit O
eisernem O
Fleiß O
daran O
gearbeitet O
hat O
, O
den O
Ruf O
dieser O
Spezialität O
auf O
eine O
solide O
Basis O
zu O
stellen O
. O
Der O
ehemalige O
Gommeux O
ist O
nämlich O
heute O
unter O
den O
französischen O
Deputirten O
eine O
Art O
von O
„ O
Richter-Hagen O
" O
, O
er O
ist O
der O
ständige O
Budget-Berichterstatter O
uud O
— O
Von O
Robert B-PER
Hamerling I-PER
erscheint O
demnächst O
ein O
neues O
fünfaktigeS O
Lustspiel O
im O
Druck O
, O
das O
den O
Titel O
„ O
Lord O
Lucifer O
" O
führt O
. O
Jedenfalls O
eine O
interessante O
Erscheinung O
, O
auf O
die O
wir O
eingehend O
zurückkommen O
werden O
. O
Aus O
Paris B-LOC
wird O
gemeldet O
: O
„ O
Jules B-PER
Barbier I-PER
, O
der O
unerschöpfliche O
Librettist O
, O
welchem O
Gounod B-PER
, O
Ambroise B-PER
Thomas I-PER
, O
Victor B-PER
Masse I-PER
n O
. O
A O
. O
ihre O
wirksamsten O
Operntexte O
zu O
danken O
haben O
, O
ist O
soeben O
als O
Kandidat O
für O
die O
Akademie O
aufgetreten O
und O
, O
um O
seine O
Bewerbung O
zu O
unterstützen O
, O
hat O
der O
ihm O
befreundete O
Direktor O
des O
Odeon B-ORG
- I-ORG
Theaters I-ORG
auf O
dieser O
Bühne O
Sonnabend O
ein O
älteres O
und O
schon O
im O
Druck O
erschienenes O
dreiaktiges O
Lustspiel O
von O
Jules B-PER
Barbier I-PER
: O
„ O
lin O
Ilomais O
s O
plsiväre O
! O
" O
( O
„ O
O O
der O
Bejaniuiernswerlhcl O
" O
) O
in O
Szene O
gehen O
lassen O
. O
Der O
Titel O
des O
in O
Versen O
geschriebenen O
Stückes O
ist O
, O
wie O
man O
wohl O
schon O
errathen O
hat O
, O
ironisch O
gemeint O
: O
Fortunatus O
, O
der O
Held O
, O
der O
nicht O
umsonst O
diesen O
Namen O
führt O
, O
ist O
vielmehr O
ein O
Schooßkind O
des O
Glückes O
und O
gleichwohl O
mit O
einem O
galligen O
, O
pessimistischen O
Temperament O
ausgestattet O
, O
welches O
ihm O
sein O
so O
gesegnetes O
Dasein O
verleidet O
und O
ihn O
in O
der O
krankhaften O
Einbildung O
erhält O
, O
daß O
er O
der O
unglücklichste O
aller O
Sterblichen O
sei O
. O
Er O
ärgert O
, O
ereifert O
, O
entrüstet O
sich O
über O
Alles O
und O
läßt O
sich O
in O
seinem O
finsteren O
Mißtrauen O
von O
einem O
Bedienten O
sogar O
überreden O
, O
daß O
seine O
Frau O
, O
die O
er O
doch O
längst O
als O
ein O
Muster O
aller O
weiblichen O
Tugenden O
kennen O
sollte O
, O
ihn O
mit O
einem O
Freunde O
täusche O
, O
ein O
Verdacht O
, O
in O
welchem O
ihn O
ein O
wohlmeinender O
Oheim O
, O
um O
ihn O
von O
seiner O
Manie O
zu O
heilen O
, O
noch O
bestärkt O
. O
Wie O
nun O
in O
Fortunatus O
die O
bessere O
Natur O
mit O
seinem O
unseligen O
Menschenhasse O
kämpft O
und O
schließlich O
den O
Sieg O
gewinnt O
— O
diese O
psychologische O
Entwicklung O
bildet O
den O
Stoff O
des O
an O
Handlung O
armen O
, O
aber O
mit O
seinem O
moralischen O
Gefühl O
und O
in O
sauberer O
Poetik O
durchgeführten O
Stücks O
, O
welches O
einen O
ehrbaren O
Achtungserfolg O
errang O
. O
" O
-^Laube O
' O
s O
neuer O
Roman O
„ O
Die O
Böhminger O
' O
dürfte O
in O
einigen O
Monaten O
im O
Verlage B-ORG
von I-ORG
Hallberger I-ORG
erscheinen O
. O
Das O
Manuskript O
ist O
bereits O
vor O
einigen O
Tagen O
vollständig O
der O
Verlagshandlung O
eingeschickt O
worden O
. O
— O
. O
Sacher B-PER
- I-PER
Masochs I-PER
Operette O
„ O
Die O
Wächter O
der O
Moral O
" O
wird O
L"rst O
'n O
Pest O
, O
und O
zwar O
bereits O
im O
Januar O
, O
zur O
Aufführung O
kommen O
. O
Direktor O
Robert B-PER
Muller I-PER
hat O
dieselbe O
glänzend O
ausgestattet O
. O
Die O
durch O
ihre O
Schönheit O
und O
ihr O
Talent O
gleich O
vortheilhaft O
bekannte O
Olma O
singt O
die O
Fürstin O
. O
-s- O
„ O
Eine O
schwarze O
Venus O
" O
, O
die O
Novität O
des O
Louisenstädtischen O
-'.licaterS O
, O
die O
dem O
Belot'schen O
Ausstattungsstück O
in O
etwas O
vorlauter O
Weise O
itcl O
entlehnt O
hat O
, O
macht O
gute O
Häuser O
und O
dürfte O
aus O
der O
Dresdener B-LOC
sobald O
nicht O
verschwinden O
. O
Berliner B-ORG
Tageblatt I-ORG
. O
?tr O
. O
1 O
der O
verständigste O
Budget-Kritiker O
. O
Ob O
er O
freilich O
im O
Stande O
sein O
wird O
, O
die O
Geschäftskenntnis O
und O
die O
Arbeitskraft O
Leon B-PER
Say I-PER
'S I-PER
zu O
ersetzen O
, O
das O
wird O
er O
erst O
beweisen O
müssen O
, O
falls O
er O
überhaupt O
einwilligt O
, O
den O
einflußreichen O
Posten O
an O
der O
Spitze O
der O
Budgetkommission O
mit O
der O
zweiten O
Stelle O
im O
Finanzministerium O
zu O
vertauschen O
. O
Von O
den O
andern O
neuen O
Ministern O
ist O
nicht O
viel O
zu O
sagen O
. O
Cazoi B-PER
, O
der O
Nachfolger O
Le B-PER
Royer's I-PER
im O
Justizfache O
, O
ist O
wie O
dieser O
Senator O
, O
aber O
fast O
garnicht O
bekannt O
. O
Varroy B-PER
, O
der O
neue O
Bautenminister O
, O
gleichfalls O
Senator O
, O
war O
früher O
Betriebsdirektor O
der O
Paris-Straßburger B-ORG
Bahn I-ORG
, O
und O
sein O
Name O
ist O
daher O
in O
deutschen O
Ingenieur- O
und O
Beamtenkreisen O
ziemlich O
geläufig O
. O
General O
Farre B-PER
, O
der O
neue O
Kriegsminister O
, O
hatte O
bisher O
ein O
Kommando O
in O
Lyon B-LOC
, O
gilt O
als O
eifriger O
Republikaner O
und O
verdankt O
seine O
Ernennung O
der O
Protektion O
Gambetta's B-PER
. O
Er O
war O
es O
, O
der O
im O
Spätherbst O
1870 O
die O
Regimenter O
im O
Norden O
organisirte O
, O
welche O
bei O
Bapaume B-LOC
, O
St B-LOC
. I-LOC
Quentin I-LOC
und O
Amiens B-LOC
unter O
Faidherbe B-PER
fochten O
. O
Charakteristisch O
ist O
, O
daß O
Farre B-PER
und O
Varroy B-PER
beide O
ebenso O
wie O
Frevcinet B-PER
der O
Lcol«kolvteetmiono O
entstammen O
. O
Unter O
den O
früheren O
Zöglingen O
dieser O
Anstalt O
herrscht O
eine O
förmlich O
freimaurerische O
Verbrüderung O
, O
und O
da O
Ganibetta B-PER
, O
der O
persönlich O
ohne O
gründliches O
Wissen O
und O
ohne O
alle O
Spezialbildung O
ist O
, O
vor O
Leuten O
mit O
positiven O
Kenntnissen O
einen O
nahezu O
abergläubischen O
Respekt O
besitzt O
, O
so O
scheint O
die O
Zeit O
nicht O
mehr O
fern O
, O
wo O
alle O
hohen O
Aemter O
an O
Ingenieure O
wie O
Freycinet B-PER
oder O
an O
Chemiker O
wie O
Paul B-PER
Bert I-PER
vergeben O
werden O
. O
<Z O
. O
L O
. O
? O
. O
Der O
„ O
Bibel-Konflikt O
" O
in O
Konstantinopel B-LOC
scheint O
nunmehr O
beigelegt O
zu O
sein O
, O
wenigstens O
hat O
die O
Pforte O
den O
Großmächten O
eine O
Erklärung O
zugehen O
lassen O
, O
wonach O
gegen O
Ahmed B-PER
Tewfik I-PER
überhaupt O
noch O
keine O
Strafe O
erkannt O
worden O
ist O
. O
Die O
Angelegenheit O
hat O
auch O
für O
Deutschland B-LOC
ein O
besonderes O
Interesse O
, O
als O
ein O
deutscher O
Unterthan O
bei O
derselben O
mit O
verwickelt O
ist O
. O
Der O
Thatbestand O
ist O
nach O
englischer O
Darstellung O
, O
welche O
in O
der O
türkischen O
Mittheilung O
ihre O
Bestätigung O
findet O
, O
der O
folgende O
: O
Im O
vergangenen O
September O
, O
vor O
der O
Bildung O
des O
jetzigen O
Kabinets O
, O
verhaftete O
die O
Polizei O
einen O
Missionar O
Namens O
Koller B-PER
unter O
der O
Anklage O
, O
religiöse O
Traktate O
vertheilt O
zu O
haben O
. O
Drei O
Stunden O
nach O
seiner O
Verhaftung O
wurde O
er O
freigelassen O
, O
wobei O
jedoch O
die O
Polizei O
zur O
Rechtfertigung O
ihres O
Verfahrens O
ein O
in O
türkischer O
Sprache O
verfaßtes O
, O
in O
London B-LOC
gedrucktes O
Buch O
, O
in O
dem O
eine O
dem O
Islamismus O
zuwiderlaufende O
Stelle O
vorkam O
, O
sowie O
zwei O
Manuskripte O
ähnlichen O
Inhalts O
zurückhielt O
. O
Am O
folgenden O
Tage O
wurde O
ein O
muselmännischer O
Priester O
Namens O
Ahmed B-PER
Tewfik I-PER
unter O
der O
Anklage O
verhaftet O
, O
der O
Verfasser O
jener O
Schriften O
zu O
sein O
; O
das O
gerichtliche O
Verhör O
desselben O
wurde O
verschoben O
. O
Der O
englische O
Botschafter O
Sir B-PER
Henry I-PER
Layard I-PER
hat O
während O
der O
letzten O
drei O
Monate O
die O
Zurückgabe O
der O
Herrn O
Köller B-PER
gehörigen O
Papiere O
von O
der O
Pforte O
verlangt O
. O
Nachdem O
zwei O
auf O
den O
Gegenstand O
bezügliche O
Noten O
Sr O
. O
Excellenz O
unbeantwortet O
geblieben O
, O
hat O
er O
am O
letzten O
Montag O
sein O
Gesuch O
erneuert O
; O
da O
abermals O
keine O
Antwort O
erfolgte O
, O
ließ O
er O
der O
türkischen B-ORG
Regierung I-ORG
eine O
Mittheilung O
zugehen O
, O
indem O
er O
ihr O
drei O
Tage O
Zeit O
ließ O
, O
nachstehende O
Forderungen O
zu O
bewilligen O
, O
nämlich O
: O
die O
Zurückgabe O
der O
Papiere O
Koller? O
, O
die O
Freilassung O
Ahmed B-PER
Tewfiks I-PER
, O
des O
muselmännischen O
Priesters O
, O
welcher O
angeblich O
zum O
Tode O
verurtheilt O
worden O
war O
, O
weil O
er O
bei O
der O
Uebersetzung O
der O
Bibel O
ins O
Türkische O
betheiligt O
gewesen O
, O
und O
die O
Amts-Entlassung O
des O
Polizei-Direktors O
von O
Angora B-LOC
, O
der O
Ahmed B-PER
Tewfiks I-PEr
Verhaftung O
befohlen O
, O
und O
des O
Militärkommandanten O
von O
Van O
, O
welche O
Beide O
eine O
beleidigende O
Sprache O
gegen O
England B-LOC
und O
die O
britischen O
Konsularagenten O
geführt O
hatten O
. O
Layard B-PER
erklärte O
, O
daß O
, O
wenn O
die O
drei O
Punkte O
nicht O
bewilligt O
werden O
sollten O
, O
er O
Lord B-PER
Salisbury I-PER
um O
Weisungen O
über O
den O
Gegenstand O
ersuchen O
und O
unterdessen O
die O
diplomatischen O
Beziehungen O
zu O
der O
Pforte O
aufheben O
würde O
. O
In O
Antwort O
auf O
die O
Vorstellung O
Sir B-PER
Henry I-PER
Layards I-PER
hat O
die O
Pforte O
denselben O
benachrichtigt O
, O
daß O
der O
Missionär O
Köller B-PER
kein O
britischer O
, O
sondern O
ein O
deutscher O
Unterthan O
sei O
und O
des O
Weitem O
Beweise O
beigebracht O
, O
daß O
das O
Gerücht O
von O
der O
Verurtheilung O
Ahmed B-PER
Tewfiks I-PER
zum O
Tode O
nicht O
wahr O
ist O
; O
derselbe O
soll O
den O
Erklärungen O
der O
Pforte O
gemäß O
im O
Gegentheil O
nur O
einer O
Voruntersuchung O
unterworfen O
gewesen O
sein O
, O
welche O
soeben O
beendigt O
worden O
. O
Ueberdies O
hat O
die O
Pforte O
Sir B-PER
Henry I-PER
Layard I-PER
die O
Versicherung O
ertheilt O
, O
daß O
Ahmed B-PER
Tewfik I-PER
mit O
Nachsicht O
von O
den O
osmanischen O
Behörden O
behandelt O
werden O
wird O
. O
Man O
glaubt O
, O
daß O
angesichts O
der O
sowohl O
von O
der O
Pforte O
als O
Sir B-PEr
Henry I-PER
Layard I-PER
bewiesenen O
versöhnlichen O
Gesinnungen O
die O
Angelegenheit O
keine O
ernsten O
Folgen O
haben O
werde O
. O
Dies O
die O
Erklärung O
aus O
englischer O
Quelle O
; O
der O
Hauptvorwurf O
, O
welcher O
der O
Pforte O
gemacht O
wird O
, O
ist O
die O
Bummelei O
, O
mit O
welcher O
sie O
die O
Angelegenheit O
betrieb O
und O
die O
Rücksichtslosigkeit O
, O
welche O
sie O
gegen O
den O
britischen O
Botschafter O
zeigte O
. O
Gegen O
diesen O
Vorwurf O
vertheidigt O
sich O
jetzt O
die O
Pforte O
in O
einer O
amtlichen O
Mittheilung O
an O
ihre O
Vertreter O
im O
Auslande O
, O
indem O
sie O
sagt O
, O
„ O
die O
gegen O
Ahmed B-PER
Tewfik I-PER
eingeleitete O
gerichtliche O
Untersuchung O
sei O
soeben O
erst O
beendet O
worden O
. O
" O
Ferner O
sei O
es O
durchaus O
unwahr O
, O
daß O
Ahmed B-PER
Tewfik I-PER
zur O
Todesstrafe O
verurtheilt O
worden O
ist O
; O
bis O
jetzt O
sei O
überhaupt O
noch O
auf O
keine O
Strafe O
gegen O
denselben O
erkannt O
worden O
. O
Er O
wurde O
verhaftet O
unter O
der O
Beschuldigung O
, O
Schriften O
verbreitet O
zu O
haben O
, O
welche O
zum O
Umsturz O
der O
religiösen O
Ordnung O
geeignet O
seien O
und O
eine O
Beleidigung O
des O
Islam O
enthielten O
. O
Im O
Uebrigen O
soll O
der O
englische O
Botschafter O
vom O
Sultan O
empfangen O
werden O
, O
um O
aus O
dessen O
Munde O
die O
Erledigung O
seiner O
Reklamationen O
in O
der O
Bibel-Affaire O
zu O
erfahren O
. O
Man O
glaubt O
um O
so O
gewisser O
an O
eine O
rasche O
und O
befriedigende O
Beilegung O
des O
Zwischenfalles O
, O
als O
auch O
, O
wie O
uns O
schon O
ein O
Privattelegramm O
meldete O
, O
der O
deutsche O
Geschäftsträger O
, O
Graf B-PER
Nadolinski I-PER
, O
die O
Weisung O
von O
seiner O
Regierung O
erhalten O
haben O
soll O
, O
die O
Reklamationen O
des O
englischen O
Botschafters O
bei O
der O
Pforte O
zu O
unterstützen O
. O
Deutschland B-LOC
. O
Berlin B-LOC
, O
31 O
. O
Dezember O
. O
( O
Wolffs O
Bür v
. O
) O
. O
Zufolge O
heute O
hier O
getroffener O
Vereinbarung O
wird O
der O
Handelsvertrag O
zwischen O
Deutschland B-LOC
und O
Oesterreich-Ungarn B-LOC
vom O
16 O
. O
Dezember O
1878 O
nebst O
Schlußprotokoll O
bis O
3V O
. O
Juni O
1880 O
in O
Kraft O
bleiben O
, O
jedoch O
mit O
Ausschluß O
der O
Bestimmungen O
über O
Zollfreiheit O
der O
Rohlcinen O
über O
Refaktien O
bei O
Eisenbahntarifen O
und O
über O
Beschlagnahme O
von O
Eisenbahn-Fahrbetriebsmitteln O
, O
sowie O
ferner O
mit O
Ausschluß O
der O
Bestimmungen O
über O
den O
Veredelungsverkehr O
, O
dessen O
Fortdauer O
beiderseits O
autonom O
geregelt O
wird O
. O
Das O
Zollkartell O
wird O
während O
der O
vereinbarten O
Fortdauer O
des O
Vertrages O
insoweit O
zur O
Ausführung O
gebracht O
, O
als O
bestehende O
Gesetze O
nicht O
entgegenstehen O
. O
— O
Sicherem O
Vernehmen O
nach O
wird O
der O
Veredelungsverkehr O
bis O
15 O
. O
Februar O
in O
der O
bisherigen O
Weise O
unter O
Bewilligung O
zollfreier O
Wiedereinfuhr O
belassen O
werden O
. O
* O
Nach O
einer O
Bekanntmachung O
des O
Reichskanzlers O
ist O
der O
Betrag O
der O
für O
die O
Naturalverpflegung O
der O
Truppen O
zu O
gewährenden O
Vergütung O
für O
das O
Jahr O
1880 O
dahin O
festgestellt O
worden O
, O
daß O
an O
Vergütung O
für O
Mann O
und O
Tag O
zu O
gewähren O
ist O
: O
mit O
Brot O
ohne O
Brot O
». O
für O
die O
volle O
Tageskost O
. O
. O
85 O
Pf O
. O
. O
. O
70 O
Pf O
. O
b O
. O
„ O
„ O
Mittagskost O
... O
43 O
„ O
38 O
c. O
„ O
„ O
Abendkost O
.... O
26 O
„ O
. O
. O
21 O
„ O
„ O
Morgenkost O
. . . O
16 O
„ O
